,RegraDaSoma
0,0.9147619047619048
1,0.919047619047619
2,0.92
3,0.9176190476190477
4,0.919047619047619
5,0.9138095238095238
6,0.9176190476190477
7,0.9147619047619048
8,0.9157142857142857
9,0.9171428571428571
10,0.9176190476190477
11,0.9157142857142857
12,0.9185714285714286
13,0.9185714285714286
14,0.9176190476190477
15,0.9161904761904762
16,0.9171428571428571
17,0.9166666666666666
18,0.9171428571428571
19,0.9176190476190477
20,0.9152380952380952
21,0.92
22,0.9142857142857143
23,0.9166666666666666
24,0.9157142857142857
25,0.919047619047619
26,0.9161904761904762
27,0.9161904761904762
28,0.9185714285714286
29,0.9157142857142857
