['GRASS' 'PATH' 'WINDOW' 'CEMENT' 'FOLIAGE' 'SKY' 'BRICKFACE']
CompleteView ####################
0 : 0.79333
1 : 0.79333
2 : 0.79429
3 : 0.79095
4 : 0.79286
5 : 0.78952
6 : 0.78667
7 : 0.79143
8 : 0.78857
9 : 0.78905
10 : 0.79048
11 : 0.79667
12 : 0.79619
13 : 0.79524
14 : 0.79095
15 : 0.79286
16 : 0.79095
17 : 0.78905
18 : 0.79095
19 : 0.79619
20 : 0.78952
21 : 0.79000
22 : 0.79333
23 : 0.79048
24 : 0.79095
25 : 0.79524
26 : 0.79333
27 : 0.78952
28 : 0.79381
29 : 0.79095
ShapeView ####################
0 : 0.47333
1 : 0.46667
2 : 0.47476
3 : 0.47143
4 : 0.47333
5 : 0.47190
6 : 0.47619
7 : 0.47667
8 : 0.47476
9 : 0.47238
10 : 0.47048
11 : 0.47048
12 : 0.47190
13 : 0.47333
14 : 0.47333
15 : 0.47000
16 : 0.47143
17 : 0.47524
18 : 0.47286
19 : 0.47571
20 : 0.47619
21 : 0.47667
22 : 0.47238
23 : 0.47619
24 : 0.47238
25 : 0.46857
26 : 0.46810
27 : 0.47048
28 : 0.47381
29 : 0.47143
RGBView ####################
0 : 0.71905
1 : 0.72095
2 : 0.72333
3 : 0.71762
4 : 0.71571
5 : 0.72333
6 : 0.72000
7 : 0.71905
8 : 0.72000
9 : 0.72381
10 : 0.71524
11 : 0.71952
12 : 0.71619
13 : 0.72000
14 : 0.71619
15 : 0.71619
16 : 0.71762
17 : 0.71476
18 : 0.71714
19 : 0.72190
20 : 0.71905
21 : 0.71571
22 : 0.71381
23 : 0.72190
24 : 0.71714
25 : 0.72095
26 : 0.71857
27 : 0.72000
28 : 0.72143
29 : 0.72143
TEMPOS DE EXECUÇÃO 
CompleteView : 593.64 segundos
ShapeView    : 303.94 segundos
RGBView      : 422.31 segundos
Total        : 1319.91 segundos
